데이터,라벨,1 평어,2 왕,3 신하
정정(幽閑貞靜)하였다,,,,
받들었다,,,,
구제하였다,,,,
것이다,,,,
것이다,,,,
아아,,,,
보좌하였다,,,,
것이다,,,,
"""",,,,
맞아들이었다,,,,
족매(族妹)이다,,,,
하였다,,,,
들였다,,,,
말하였다,,,,
없습니다,,,,
없습니다,,,,
말하였다,,,,
하는가,,,,
대답하였다,,,,
아닙니다,,,,
아닙니다,,,,
것입니다,,,,
처리하겠습니까,,,,
아니하였다,,,,
물었다,,,,
되는가,,,,
대답하였다,,,,
것입니다,,,,
"""",,,,
말하였다,,,,
없다,,,,
것이다,,,,
하였다,,,,
상언하였다,,,,
이름이라,,,,
하였습니다,,,,
하소서,,,,
따랐다,,,,
강론(講論)하였다,,,,
아뢰었다,,,,
어긋납니다,,,,
말하였다,,,,
아니했는가,,,,
대답하였다,,,,
금하소서,,,,
"""",,,,
바쳤다,,,,
이러하였다,,,,
말하였습니다,,,,
하셨습니다,,,,
것입니다,,,,
것입니다,,,,
들었다,,,,
대답하였다,,,,
된[禽荒]다,,,,
바입니다,,,,
말하였다,,,,
말인가,,,,
대답하였다,,,,
아닙니다,,,,
일입니다,,,,
말하였다,,,,
"""그렇다",,,,
말하였다,,,,
것입니다,,,,
아닙니다,,,,
여기었다,,,,
말하였다,,,,
돌아갔습니다,,,,
이러하였다,,,,
말한다,,,,
포고(布告)하였다,,,,
것이다,,,,
발송(發送)한다,,,,
"""",,,,
파직(罷職)되었다,,,,
올리었다,,,,
하라,,,,
실수입니다,,,,
시행하소서,,,,
하였다,,,,
올리었다,,,,
"""1",,,,
일입니다,,,,
1,,,,
됩니다,,,,
것입니다,,,,
1,,,,
것입니다,,,,
1,,,,
1,,,,
됩니다,,,,
것입니다,,,,
1,,,,
있습니다,,,,
1,,,,
됩니다,,,,
것입니다,,,,
것입니다,,,,
하였다,,,,
올리었다,,,,
청합니다,,,,
많았다,,,,
청하였다,,,,
행하였다,,,,
파면되었다,,,,
말하였다,,,,
말하는가,,,,
도감(不定都監)인데,,,,
것이었다,,,,
진술하였다,,,,
"""1",,,,
1,,,,
1,,,,
것입니다,,,,
말하였다,,,,
"""좋다",,,,
"""",,,,
하였다,,,,
것입니다,,,,
있습니다,,,,
되었습니다,,,,
있습니다,,,,
있습니다,,,,
생각됩니다,,,,
하였습니다,,,,
합니다,,,,
상언(上言)하였다,,,,
하소서,,,,
"""",,,,
졸(卒)하였다,,,,
아들이다,,,,
제수받았다,,,,
이르렀다,,,,
말하였다,,,,
말라,,,,
이르렀다,,,,
되었다,,,,
삼았다,,,,
64세였다,,,,
경계하였다,,,,
삼았다,,,,
있겠는가,,,,
아프다,,,,
하라,,,,
않았다,,,,
하였다,,,,
용서하였다,,,,
교통하였습니다,,,,
아뢰었다,,,,
것입니다,,,,
것입니다,,,,
사실이었다,,,,
귀양보냈다,,,,
말하였다,,,,
없다,,,,
"""",,,,
올렸다,,,,
일입니다,,,,
않습니다,,,,
하소서,,,,
것입니다,,,,
의논하소서,,,,
윤허하였다,,,,
상서(上書)하였다,,,,
못합니다,,,,
하소서,,,,
말하였다,,,,
"놓아보내라""",,,,
상언(上言)하였다,,,,
아니옵니다,,,,
태거(汰去)하소서,,,,
윤허하였다,,,,
상서(上書)하였다,,,,
상례(喪禮)입니다,,,,
없습니다,,,,
말입니다,,,,
있겠습니까,,,,
있겠습니까,,,,
하소서,,,,
윤허하였다,,,,
상청(上請)하였다,,,,
없습니다,,,,
극진합니다,,,,
없습니다,,,,
징계하소서,,,,
말하였다,,,,
있는가,,,,
"""",,,,
상언(上言)하였다,,,,
합니다,,,,
자입니다,,,,
못하였습니다,,,,
말하겠습니까,,,,
두소서,,,,
말하였다,,,,
없다,,,,
"""",,,,
이러하였다,,,,
없다,,,,
것이다,,,,
만하다,,,,
두터웠다,,,,
채웠다,,,,
잊으랴,,,,
슬프다,,,,
생각하라,,,,
"""",,,,
사은(謝恩)하였다,,,,
맞았나이다,,,,
나옵니다,,,,
것입니다,,,,
부끄러워하옵니다,,,,
참알(參謁)하였습니다,,,,
못하였습니다,,,,
경영(經營)하였습니다,,,,
있습니다,,,,
나왔습니다,,,,
젖으리이까,,,,
더하겠나이다,,,,
"""",,,,
말하였다,,,,
한심하다,,,,
있겠는가,,,,
물으라,,,,
대답하였다,,,,
오랩니다,,,,
것입니다,,,,
"""",,,,
하였다,,,,
보내었다,,,,
할까,,,,
대답하였다,,,,
어떠합니까,,,,
"하였다,",,,,
이러하였다,,,,
깊다,,,,
풀린다,,,,
다행이겠다,,,,
바란다,,,,
있다,,,,
마치라,,,,
못한다,,,,
쓴다,,,,
"""",,,,
말하였다,,,,
잃었습니다,,,,
마소서,,,,
용서하였다,,,,
명하였다,,,,
하라,,,,
"""",,,,
같았다,,,,
하였다,,,,
하였다,,,,
기지(基地)여라,,,,
"""",,,,
탄핵하였다,,,,
말하였다,,,,
나쁜가,,,,
않았다,,,,
일렀다,,,,
낫다,,,,
않다,,,,
일렀다,,,,
말라,,,,
분부하였다,,,,
오지,,,,
말라,,,,
진언(進言)하였다,,,,
것입니다,,,,
것입니다,,,,
말하였다,,,,
하는가,,,,
경계이라,,,,
"""",,,,
졸(卒)하였다,,,,
아들이다,,,,
죽이었다,,,,
만들었다,,,,
두려워하였었다,,,,
말하였다,,,,
아닙니다,,,,
말하였다,,,,
그럴듯하다,,,,
따랐다,,,,
극복(克服)하였다,,,,
승진하였다,,,,
받았다,,,,
퇴거(退居)하였다,,,,
명하였다,,,,
81세였다,,,,
김추(金錘)·김전(金銓)·김균(金鈞)이다,,,,
말하였다,,,,
아니옵니다,,,,
결단하소서,,,,
용서하였다,,,,
있습니다,,,,
주었었다,,,,
상언(上言)하였다,,,,
지극합니다,,,,
없습니다,,,,
하소서,,,,
것이다,,,,
자인가,,,,
않았다,,,,
명하였다,,,,
돌아가라,,,,
아뢰었다,,,,
없습니다,,,,
말하였다,,,,
없다,,,,
"""",,,,
진언(進言)하였다,,,,
것입니다,,,,
원합니다,,,,
말하였다,,,,
없다,,,,
돌려보냈다,,,,
아뢰었다,,,,
불가합니다,,,,
말하였다,,,,
되겠는가,,,,
"""",,,,
탄핵하였다,,,,
앉았다,,,,
않는가,,,,
하였다,,,,
하였다,,,,
못합니다,,,,
않았다,,,,
것이었다,,,,
상소(上疏)하였다,,,,
않았습니다,,,,
없습니다,,,,
하소서,,,,
꾸짖었다,,,,
같다,,,,
말하겠는가,,,,
대답하였다,,,,
못하였습니다,,,,
대답하였다,,,,
못하였습니다,,,,
대답하였다,,,,
올렸습니다,,,,
하였다,,,,
하였다,,,,
하교(下敎)하였다,,,,
궁금(宮禁)이겠느냐,,,,
근신(謹愼)하라,,,,
"""",,,,
상언(上言)하였다,,,,
없습니다,,,,
것입니다,,,,
준칙(準則)이옵니다,,,,
아닙니다,,,,
아닙니다,,,,
것입니다,,,,
것입니다,,,,
일입니다,,,,
아닙니다,,,,
것입니다,,,,
없습니다,,,,
않는다,,,,
말입니다,,,,
여깁니다,,,,
까닭입니다,,,,
뿐이겠습니까,,,,
것입니다,,,,
것입니다,,,,
청하였다,,,,
주었다,,,,
산하(山河)였다,,,,
둘이로다,,,,
있도다,,,,
궁원(宮苑)이었다,,,,
둘렸도다,,,,
유락(遊樂)하도다,,,,
성공(列署星拱)이었다,,,,
같도다,,,,
않는도다,,,,
기포(碁布)였다,,,,
찬연하구나,,,,
교장(敎場)이었다,,,,
연하였도다,,,,
만하도다,,,,
조박(漕泊)이었다,,,,
나르는도다,,,,
보려무나,,,,
있도다,,,,
행인(行人)이었다,,,,
이르도다,,,,
화답하도다,,,,
목마(牧馬)였다,,,,
달구나,,,,
하도다,,,,
"""",,,,
상언(上言)하였다,,,,
이르렀습니다,,,,
넘치옵니다,,,,
시행하소서,,,,
되옵니다,,,,
일입니다,,,,
것입니다,,,,
응하겠습니까,,,,
것입니다,,,,
하소서,,,,
말하였다,,,,
덜라,,,,
"""",,,,
전지(傳旨)하였다,,,,
호소하였다,,,,
것이다,,,,
있겠는가,,,,
하라,,,,
"""",,,,
이러하였다,,,,
것이다,,,,
크다,,,,
것이다,,,,
만하겠다,,,,
하겠다,,,,
지키는가,,,,
인(仁)이다,,,,
것이다,,,,
없다,,,,
이러하였다,,,,
컸다,,,,
북쪽이었다,,,,
제거하였다,,,,
놓았다,,,,
번성하여졌다,,,,
파낸다,,,,
천만년이리라,,,,
"""",,,,
아뢰었다,,,,
되었습니다,,,,
하소서,,,,
미편(未便)하옵니다,,,,
하소서,,,,
말하였다,,,,
옳다,,,,
못하였다,,,,
하겠다,,,,
것이다,,,,
명령하였다,,,,
보겠다,,,,
"""",,,,
돌리었다,,,,
누구냐,,,,
귀생뿐입니다,,,,
얻었다,,,,
올리었다,,,,
같습니다,,,,
간절하셨습니다,,,,
본뜻이겠습니까,,,,
진압한다,,,,
속이겠습니까,,,,
것입니다,,,,
된다,,,,
것입니다,,,,
않겠습니까,,,,
따랐다,,,,
말하였다,,,,
전달합니다,,,,
것입니다,,,,
것입니다,,,,
보이겠습니까,,,,
말라,,,,
하였습니다,,,,
지켜라,,,,
것입니다,,,,
미심하옵니다,,,,
것입니다,,,,
않겠습니까,,,,
이유인가,,,,
것입니다,,,,
않았습니다,,,,
하였습니다,,,,
않습니다,,,,
있겠습니까,,,,
것입니다,,,,
있겠습니까,,,,
있겠습니까,,,,
것입니다,,,,
말하였다,,,,
출신이다,,,,
아니한다,,,,
아니한다,,,,
보자,,,,
요구하였다,,,,
하였다,,,,
것이다,,,,
것이다,,,,
같다,,,,
알려라,,,,
하였다,,,,
것이다,,,,
같았다,,,,
전지하였다,,,,
하라,,,,
복명(復命)하였다,,,,
것입니다,,,,
따랐다,,,,
하였다,,,,
아뢰었다,,,,
것입니다,,,,
있습니다,,,,
편입니다,,,,
것입니다,,,,
대응(對應)하겠습니까,,,,
두렵습니다,,,,
것입니다,,,,
못하였다,,,,
일렀다,,,,
보답하라,,,,
하였다,,,,
전지하였다,,,,
같았다,,,,
아니다,,,,
하겠다,,,,
아니다,,,,
것이다,,,,
하라,,,,
"""",,,,
상언(上言)하였다,,,,
된다,,,,
되었습니다,,,,
없습니다,,,,
것입니다,,,,
잃었는가,,,,
하였는가,,,,
이르렀는가,,,,
건축하였는가,,,,
강성한가,,,,
이르렀는가,,,,
하였습니다,,,,
것입니다,,,,
하였습니다,,,,
않았겠습니까,,,,
없다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
하소서,,,,
하였다,,,,
불었다,,,,
탔다,,,,
탄식하였다,,,,
말인가,,,,
뿐이다,,,,
"""",,,,
고하였다,,,,
패퇴(敗退)시켰습니다,,,,
왔습니다,,,,
하였다,,,,
보고하였다,,,,
나옵니다,,,,
하였다,,,,
올리었다,,,,
않았습니다,,,,
것입니다,,,,
이유인가,,,,
없습니다,,,,
하였습니다,,,,
많았습니다,,,,
것뿐이겠습니까,,,,
두려워합니다,,,,
일이겠습니까,,,,
것입니까,,,,
것입니까,,,,
것입니까,,,,
알겠습니까,,,,
속이겠습니까,,,,
있겠습니까,,,,
일입니까,,,,
일이라,,,,
잡겠습니까,,,,
반성하겠습니까,,,,
것입니다,,,,
쓰겠는가,,,,
않겠습니까,,,,
다행하겠습니다,,,,
명령하였다,,,,
많다,,,,
알겠는가,,,,
하라,,,,
"""",,,,
졸(卒)하였다,,,,
사람이다,,,,
않았다,,,,
승진되었다,,,,
가져왔다,,,,
되었다,,,,
되었다,,,,
아니하였다,,,,
말하였다,,,,
못했습니다,,,,
주었다,,,,
보급되었다,,,,
70세였다,,,,
증직(贈職)하였다,,,,
문중용(文中庸)·문중실(文中實)·문중계(文中啓)이다,,,,
삼았다,,,,
삼았다,,,,
명하였다,,,,
어떻겠는가,,,,
못하다,,,,
죄주겠다,,,,
잘못인가,,,,
못하였다,,,,
올리었다,,,,
일입니다,,,,
하소서,,,,
윤허하였다,,,,
계문(啓聞)하였다,,,,
청합니다,,,,
임명하였다,,,,
아뢰었다,,,,
지내소서,,,,
윤허하였다,,,,
불렀다,,,,
말하였다,,,,
없다,,,,
아니하였다,,,,
말하였다,,,,
하겠다,,,,
하였다,,,,
관람하였다,,,,
친유(親諭)라,,,,
하였다,,,,
영접하였다,,,,
이르렀다,,,,
꿇어앉았다,,,,
자문(咨文)이었다,,,,
이러하였다,,,,
되었다,,,,
것이다,,,,
없었다,,,,
것이다,,,,
때문이다,,,,
말아라,,,,
준다,,,,
하였습니다,,,,
이자(移咨)합니다,,,,
행하였다,,,,
미워하였다,,,,
못하였다,,,,
것이다,,,,
것이다,,,,
갔다,,,,
보고하였다,,,,
왔습니다,,,,
되었다,,,,
것이다,,,,
상언(上言)하였다,,,,
없습니다,,,,
하소서,,,,
윤허하였다,,,,
탄핵하였다,,,,
했습니다,,,,
징계하소서,,,,
하였다,,,,
유시(諭示)하였다,,,,
것이다,,,,
나갔다,,,,
이러하였다,,,,
회답합니다,,,,
없습니다,,,,
합니다,,,,
초래(招來)하겠습니까,,,,
두었겠습니까,,,,
명령했겠습니까,,,,
용납하겠습니까,,,,
것입니다,,,,
베푸소서,,,,
"""",,,,
하였다,,,,
형이다,,,,
아뢰었다,,,,
하소서,,,,
말하였다,,,,
하라,,,,
"""",,,,
말하였다,,,,
이유인가,,,,
못한가,,,,
것이다,,,,
있겠는가,,,,
않는다,,,,
"""",,,,
집행하였다,,,,
말하였다,,,,
있겠는가,,,,
것이다,,,,
말하였다,,,,
아뢰었다,,,,
말하였다,,,,
것이다,,,,
하였다,,,,
여기었다,,,,
파면시키었다,,,,
일렀다,,,,
것이다,,,,
말하였다,,,,
있습니다,,,,
되었다,,,,
없었다,,,,
아니하였다,,,,
아뢰었다,,,,
있습니다,,,,
명하였다,,,,
상언(上言)하였다,,,,
되었었습니다,,,,
하였습니다,,,,
하소서,,,,
윤허하였다,,,,
귀양보내었다,,,,
대답하였다,,,,
화려합니다,,,,
말하였다,,,,
않습니까,,,,
말하였다,,,,
같습니다,,,,
말하였다,,,,
있겠습니까,,,,
말하였다,,,,
것입니다,,,,
말하였다,,,,
없었습니다,,,,
말하였다,,,,
박수기(朴竪基)입니다,,,,
말하였다,,,,
10인입니다,,,,
말하였다,,,,
없다,,,,
되겠다,,,,
하였다,,,,
졸(卒)하였다,,,,
아들이다,,,,
받았다,,,,
가버렸다,,,,
있겠는가,,,,
않았다,,,,
하였다,,,,
천직(遷職)되었다,,,,
받았다,,,,
돌아왔다,,,,
임명되었다,,,,
되었다,,,,
80세였다,,,,
내리었다,,,,
이안국(李安國)이다,,,,
당하였다,,,,
되었다,,,,
않았다,,,,
하였다,,,,
아니하였다,,,,
타일렀다,,,,
것이다,,,,
아니하였다,,,,
말하였다,,,,
아니다,,,,
말하였다,,,,
있겠는가,,,,
알렸다,,,,
전하였다,,,,
않다,,,,
하라,,,,
당여(黨與)이었다,,,,
약속하였다,,,,
일렀었다,,,,
것이다,,,,
되었다,,,,
말하였다,,,,
청하라,,,,
대답하였다,,,,
아뢰겠습니까,,,,
말하였다,,,,
것이다,,,,
말하였다,,,,
치료하십시오,,,,
말하였다,,,,
않겠소,,,,
없소,,,,
것이오,,,,
말하였다,,,,
조심하세요,,,,
어두워졌다,,,,
같았다,,,,
것이다,,,,
갔다,,,,
정탐하였다,,,,
직숙(直宿)하였다,,,,
하였다,,,,
들어갔다,,,,
말하였다,,,,
하시오,,,,
없다,,,,
의심하였다,,,,
부르는가,,,,
말하였다,,,,
되었다,,,,
하였다,,,,
말하였다,,,,
바란다,,,,
것이다,,,,
누웠다,,,,
되었다,,,,
일렀다,,,,
기다리십시오,,,,
비웃었다,,,,
아니하였다,,,,
있었다,,,,
9명뿐이었다,,,,
쥐었다,,,,
말하였다,,,,
되겠는가,,,,
대답하였다,,,,
없습니다,,,,
한다,,,,
청합니다,,,,
기다리었다,,,,
하였다,,,,
말하였다,,,,
좋겠는가,,,,
대답하였다,,,,
좋겠습니다,,,,
고하였다,,,,
집입니다,,,,
있었다,,,,
났다,,,,
말하였다,,,,
화살이다,,,,
당하였다,,,,
아뢰었다,,,,
들어왔습니다,,,,
나왔다,,,,
말하였다,,,,
마시오,,,,
죽겠습니다,,,,
말하였다,,,,
주소서,,,,
것이다,,,,
말하였다,,,,
여기느냐,,,,
있느냐,,,,
하였다,,,,
돌아왔다,,,,
죽었다,,,,
고하였다,,,,
없습니다,,,,
말하였다,,,,
없겠는가,,,,
말하였다,,,,
이무이다,,,,
말하였다,,,,
말라,,,,
주었다,,,,
있었다,,,,
쳤다,,,,
말하였다,,,,
아닙니까,,,,
말하였다,,,,
두렵습니다,,,,
말하였다,,,,
아닌가,,,,
부르는가,,,,
대답하였다,,,,
있습니다,,,,
말하였다,,,,
않았습니까,,,,
맞이하였다,,,,
따라왔다,,,,
말하였다,,,,
들어가십시오,,,,
말하였다,,,,
않는가,,,,
꿇어앉았다,,,,
말하였다,,,,
것이다,,,,
말하였다,,,,
못했습니다,,,,
말하였다,,,,
것이오,,,,
물었다,,,,
어떠하신가,,,,
말하였다,,,,
한다,,,,
나아갔다,,,,
불렀다,,,,
왔는가,,,,
왔는가,,,,
물었다,,,,
옮기는가,,,,
부는가,,,,
말하였다,,,,
하겠는가,,,,
것뿐이다,,,,
것이다,,,,
모였다,,,,
말하였다,,,,
왔는가,,,,
말하였다,,,,
것입니다,,,,
말했다,,,,
왔는가,,,,
말하였다,,,,
않았습니다,,,,
아뢰었다,,,,
없습니다,,,,
말하였다,,,,
않다,,,,
말하였다,,,,
없습니다,,,,
어렵겠다,,,,
말하였다,,,,
자백(自白)하겠습니다,,,,
베었다,,,,
이르렀다,,,,
돌아가라,,,,
베었다,,,,
말하였다,,,,
것이다,,,,
하였다,,,,
대접하였다,,,,
고하였다,,,,
기다리겠습니다,,,,
것이다,,,,
하였다,,,,
하였다,,,,
하였다,,,,
아뢰었다,,,,
청합니다,,,,
말하였다,,,,
"""좋다",,,,
나왔다,,,,
있었다,,,,
않았다,,,,
지으라,,,,
말하였다,,,,
된다,,,,
말하였다,,,,
아는가,,,,
말하였다,,,,
문사(文詞)이다,,,,
말하였다,,,,
누구인가,,,,
잡으라,,,,
하였다,,,,
말하였다,,,,
쓰겠다,,,,
지었다,,,,
않는다,,,,
말하였다,,,,
반포(頒布)하라,,,,
아뢰었다,,,,
마옵소서,,,,
아뢰었다,,,,
것입니다,,,,
공격하겠습니다,,,,
말하였다,,,,
말아라,,,,
미치겠는가,,,,
말하였다,,,,
없다,,,,
아니하였다,,,,
있었다,,,,
때였다,,,,
말하였다,,,,
없다,,,,
말하였다,,,,
것입니다,,,,
말하였다,,,,
있겠다,,,,
올리었다,,,,
하소서,,,,
있었다,,,,
말하였다,,,,
있겠는가,,,,
되었다,,,,
내리었다,,,,
대답하였다,,,,
일입니다,,,,
아니하였다,,,,
말하였다,,,,
않는가,,,,
"""좋다",,,,
넣었다,,,,
말하였다,,,,
내리라,,,,
말하였다,,,,
고치겠는가,,,,
말하였다,,,,
것입니다,,,,
말하였다,,,,
않는다,,,,
떨치었다,,,,
전하였다,,,,
않는가,,,,
나왔다,,,,
말하였다,,,,
해롭겠는가,,,,
나왔다,,,,
하였다,,,,
일렀다,,,,
뿐이다,,,,
말하였다,,,,
않았는가,,,,
가거라,,,,
가거라,,,,
하였다,,,,
일렀다,,,,
형제겠는가,,,,
말라,,,,
말하였다,,,,
되었습니다,,,,
말하였다,,,,
고기덩이다,,,,
베었다,,,,
일렀다,,,,
돌아가라,,,,
내리었다,,,,
기대(期待)이다,,,,
것이다,,,,
있었겠는가,,,,
두려워하였다,,,,
되었다,,,,
하였다,,,,
진무(鎭撫)하라,,,,
말하였다,,,,
가라,,,,
전달하였다,,,,
하라,,,,
말하였다,,,,
나오는가,,,,
말하였다,,,,
시위(侍衛)하라,,,,
주었다,,,,
갔다,,,,
일렀다,,,,
것입니다,,,,
죽이었다,,,,
말하였다,,,,
것이다,,,,
것이다,,,,
하라,,,,
마시오,,,,
진무(鎭撫)입니다,,,,
울었다,,,,
아니하였다,,,,
말하였다,,,,
없다,,,,
당하였다,,,,
되었다,,,,
돌아갔다,,,,
아들이다,,,,
되었다,,,,
임명하였다,,,,
제조하였다,,,,
승진되었다,,,,
말하였다,,,,
못합니다,,,,
있습니까,,,,
폄직(貶職)되었다,,,,
임명되었다,,,,
되었다,,,,
임명하였다,,,,
지었다,,,,
청하였다,,,,
봉해졌다,,,,
하였다,,,,
갔다,,,,
추대(推戴)하였다,,,,
가하였다,,,,
있었다,,,,
수찬(修撰)하였다,,,,
승진되었다,,,,
시행하였다,,,,
수축하였다,,,,
대우하였다,,,,
삼았다,,,,
생각하였다,,,,
말하였다,,,,
"""훌륭합니다",,,,
못하겠습니까,,,,
말하였다,,,,
이름인가,,,,
대답하였다,,,,
이름입니다,,,,
썼다,,,,
이러하였다,,,,
일이네,,,,
이야기하였다,,,,
것이다,,,,
것이다,,,,
않았다,,,,
여겼다,,,,
되었다,,,,
있었다,,,,
이르렀다,,,,
아들이다,,,,
임명되었다,,,,
되었다,,,,
달아났다,,,,
돌아왔다,,,,
못하였다,,,,
경계하였다,,,,
하였다,,,,
내리었다,,,,
이르렀다,,,,
봉해졌다,,,,
좋아하였다,,,,
45세였다,,,,
남경수(南景壽)·남경우(南景祐)·남경복(南景福)·남경지(南景祉)이다,,,,
아들이다,,,,
이르렀다,,,,
되었다,,,,
칭찬하였다,,,,
50세였다,,,,
심도원(沈道源)이다,,,,
밀양(密陽)이다,,,,
고을이다,,,,
쳐부수었다,,,,
되었다,,,,
되었다,,,,
박기(朴耆)이다,,,,
아들이다,,,,
이르렀다,,,,
쳤다,,,,
일컬어졌다,,,,
겸직되었다,,,,
되었다,,,,
유연지(柳衍之)이다,,,,
형이다,,,,
말하였다,,,,
없다,,,,
내리었다,,,,
사람인가,,,,
것이다,,,,
하였다,,,,
되었다,,,,
해야겠습니다,,,,
되었다,,,,
삼는다,,,,
아아,,,,
되었다,,,,
한다,,,,
"""",,,,
보고하였다,,,,
되겠습니다,,,,
아니하였다,,,,
상언하였다,,,,
하소서,,,,
말하였다,,,,
이름,,,,
이름,,,,
하라,,,,
하였다,,,,
말하였다,,,,
마십시오,,,,
말하였다,,,,
있겠습니까,,,,
있겠습니까,,,,
일렀다,,,,
따르겠습니까,,,,
염려됩니다,,,,
아뢰겠습니다,,,,
따랐다,,,,
나아갔다,,,,
반포하였다,,,,
말하노라,,,,
도모하였다,,,,
되었다,,,,
명하시었다,,,,
제사지내었다,,,,
것이다,,,,
것이다,,,,
같다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
된다,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
상심(傷心)된다,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
"""",,,,
귀양보내었다,,,,
이야기하였다,,,,
어렵다,,,,
폄직(貶職)시키었다,,,,
비난하였다,,,,
이러하였다,,,,
없겠다,,,,
없겠다,,,,
거행하라,,,,
"""",,,,
명하였다,,,,
바치라,,,,
"""",,,,
상언(上言)하였다,,,,
시행하옵소서,,,,
1,,,,
것입니다,,,,
것입니다,,,,
1,,,,
것입니다,,,,
1,,,,
1,,,,
것입니다,,,,
1,,,,
1,,,,
1,,,,
않습니다,,,,
하소서,,,,
말하였다,,,,
시행하라,,,,
"""",,,,
전하였다,,,,
편이다,,,,
한다,,,,
기뻐하였다,,,,
베었다,,,,
것입니다,,,,
하옵니다,,,,
징계하소서,,,,
것이었다,,,,
일렀다,,,,
있겠는가,,,,
되었다,,,,
하라,,,,
하였다,,,,
고하였다,,,,
염려되나이다,,,,
고하나이다,,,,
상주(上奏)하였다,,,,
어렵습니다,,,,
만합니다,,,,
바랍니다,,,,
엎드리었다,,,,
이러하였다,,,,
말하노라,,,,
염려된다,,,,
있다,,,,
하라,,,,
아아,,,,
것이다,,,,
들어왔다,,,,
말하였다,,,,
하라,,,,
하였다,,,,
이르렀다,,,,
하였다,,,,
치하(致賀)하였다,,,,
전달하였다,,,,
하라,,,,
"""",,,,
간절하였다,,,,
이러하였다,,,,
다스린다,,,,
보좌하라,,,,
하였습니다,,,,
같았습니다,,,,
것입니다,,,,
1,,,,
것입니다,,,,
된다,,,,
없었습니다,,,,
것입니다,,,,
1,,,,
것입니다,,,,
염려스럽습니다,,,,
것입니다,,,,
1,,,,
것입니다,,,,
다하였다,,,,
것뿐입니다,,,,
일입니다,,,,
것입니다,,,,
것입니다,,,,
1,,,,
것입니다,,,,
바입니다,,,,
근심입니다,,,,
있겠습니까,,,,
힘입겠습니까,,,,
것입니다,,,,
1,,,,
것입니다,,,,
떠들썩하옵니다,,,,
것입니다,,,,
1,,,,
것입니다,,,,
없습니다,,,,
것입니다,,,,
것입니다,,,,
하였다,,,,
이유인가,,,,
말하였다,,,,
것이다,,,,
"""",,,,
내리었다,,,,
아뢰었다,,,,
하소서,,,,
아니하였다,,,,
보고하였다,,,,
합니다,,,,
하였다,,,,
올리었다,,,,
되었습니다,,,,
못하였습니다,,,,
조치하겠습니까,,,,
있겠습니까,,,,
있겠습니까,,,,
아닙니다,,,,
하소서,,,,
처결(處決)하였다,,,,
물었다,,,,
이유인가,,,,
대답하였다,,,,
것뿐입니다,,,,
말하였다,,,,
잘못이다,,,,
하였다,,,,
것이다,,,,
따랐다,,,,
마땅하다,,,,
아니한가,,,,
않는가,,,,
뿐이었다,,,,
힐책(詰責)하였다,,,,
하라,,,,
것인가,,,,
것인가,,,,
못하겠는가,,,,
누구인가,,,,
진술하라,,,,
대답하였다,,,,
못합니다,,,,
말하였다,,,,
마땅하다,,,,
강경하였구나,,,,
주어라,,,,
힐난(詰難)하겠는가,,,,
것뿐이다,,,,
아니다,,,,
하라,,,,
의리이겠는가,,,,
사과(謝過)하였다,,,,
올리었다,,,,
마소서,,,,
따랐다,,,,
물었다,,,,
이유인가,,,,
대답하였다,,,,
까닭입니다,,,,
말하였다,,,,
있다,,,,
의리이겠는가,,,,
것이다,,,,
"""",,,,
올리었다,,,,
것입니다,,,,
하소서,,,,
윤허하였다,,,,
보았다,,,,
명하였다,,,,
하라,,,,
"""",,,,
명하였다,,,,
아니다,,,,
명하였다,,,,
하라,,,,
못하였다,,,,
물었다,,,,
어떠한가,,,,
대답하였다,,,,
"""그렇습니다",,,,
힐책(詰責)하였다,,,,
없는가,,,,
아뢰었다,,,,
쉽겠습니까,,,,
말하였다,,,,
"""그렇다",,,,
아뢰었다,,,,
만하겠습니다,,,,
말하였다,,,,
아뢰라,,,,
하였다,,,,
아뢰었다,,,,
않습니다,,,,
어렵습니다,,,,
적겠습니까,,,,
하소서,,,,
하였다,,,,
올리었다,,,,
있겠습니까,,,,
되었습니다,,,,
편입니다,,,,
없었습니다,,,,
청했었습니다,,,,
잊었겠습니까,,,,
정성입니다,,,,
경행(慶幸)하옵니다,,,,
되었습니다,,,,
것뿐이겠습니까,,,,
있겠습니까,,,,
한다,,,,
까닭입니다,,,,
꺼리겠습니까,,,,
거절하겠습니까,,,,
것입니다,,,,
허가하였다,,,,
연습하였다,,,,
올리었다,,,,
